# Device: cuda:3 | TF32 disabled: True
# L=32,  N=1024 spins,  beta_c = ln(1+sqrt(2))/2 ~ 0.44069
# Derivatives: central finite difference, h=0.0001
# Precomputation: 0.76s | Matrix: 3968x3968 | ~0.23 GB/tensor
#     beta            logZ/N      FreeEnergy/N          Energy/N                Cv     dt(s)
  0.1000      0.7029130043     -7.0291300430     -0.1968956722      0.0203264483     0.449
  0.1001      0.7029327040     -7.0223047355     -0.1970989464      0.0203690683     0.163
  0.1002      0.7029524241     -7.0154932543     -0.1973022401      0.0204117400     0.161
  0.1003      0.7029721645     -7.0086955581     -0.1975055532      0.0204544609     0.148
  0.1004      0.7029919252     -7.0019116055     -0.1977088858      0.0204972344     0.158
  0.1005      0.7030117063     -6.9951413557     -0.1979122379      0.0205400575     0.212
  0.1006      0.7030315076     -6.9883847678     -0.1981156095      0.0205829297     0.214
  0.1007      0.7030513294     -6.9816418011     -0.1983190007      0.0206258561     0.235
  0.1008      0.7030711714     -6.9749124151     -0.1985224115      0.0206688311     0.224
  0.1009      0.7030910339     -6.9681965694     -0.1987258418      0.0207118561     0.235
  0.1010      0.7031109166     -6.9614942239     -0.1989292918      0.0207549326     0.231
  0.1011      0.7031308197     -6.9548053384     -0.1991327614      0.0207980609     0.231
  0.1012      0.7031507432     -6.9481298732     -0.1993362507      0.0208412383     0.238
  0.1013      0.7031706870     -6.9414677884     -0.1995397596      0.0208844673     0.242
  0.1014      0.7031906511     -6.9348190445     -0.1997432883      0.0209277481     0.228
  0.1015      0.7032106356     -6.9281836022     -0.1999468366      0.0209710782     0.174
  0.1016      0.7032306405     -6.9215614221     -0.2001504048      0.0210144596     0.142
  0.1017      0.7032506657     -6.9149524651     -0.2003539926      0.0210578935     0.151
  0.1018      0.7032707113     -6.9083566924     -0.2005576003      0.0211013761     0.161
  0.1019      0.7032907772     -6.9017740650     -0.2007612278      0.0211449107     0.149
  0.1020      0.7033108635     -6.8952045444     -0.2009648751      0.0211884969     0.158
  0.1021      0.7033309702     -6.8886480920     -0.2011685422      0.0212321318     0.180
  0.1022      0.7033510972     -6.8821046696     -0.2013722292      0.0212758215     0.222
  0.1023      0.7033712446     -6.8755742389     -0.2015759361      0.0213195600     0.273
  0.1024      0.7033914124     -6.8690567619     -0.2017796629      0.0213633486     0.259
  0.1025      0.7034116006     -6.8625522007     -0.2019834097      0.0214071910     0.271
  0.1026      0.7034318091     -6.8560605176     -0.2021871764      0.0214510820     0.276
  0.1027      0.7034520380     -6.8495816749     -0.2023909631      0.0214950263     0.279
  0.1028      0.7034722873     -6.8431156352     -0.2025947697      0.0215390202     0.283
  0.1029      0.7034925570     -6.8366623612     -0.2027985964      0.0215830661     0.268
  0.1030      0.7035128470     -6.8302218157     -0.2030024432      0.0216271631     0.227
  0.1031      0.7035331575     -6.8237939617     -0.2032063100      0.0216713125     0.190
  0.1032      0.7035534883     -6.8173787624     -0.2034101968      0.0217155106     0.165
  0.1033      0.7035738395     -6.8109761810     -0.2036141038      0.0217597629     0.164
  0.1034      0.7035942111     -6.8045861808     -0.2038180309      0.0218040640     0.153
  0.1035      0.7036146031     -6.7982087256     -0.2040219781      0.0218484197     0.153
  0.1036      0.7036350155     -6.7918437789     -0.2042259456      0.0218928227     0.202
  0.1037      0.7036554483     -6.7854913046     -0.2044299332      0.0219372808     0.264
  0.1038      0.7036759015     -6.7791512667     -0.2046339410      0.0219817881     0.288
  0.1039      0.7036963751     -6.7728236292     -0.2048379690      0.0220263487     0.325
  0.1040      0.7037168691     -6.7665083565     -0.2050420173      0.0220709587     0.312
  0.1041      0.7037373835     -6.7602054129     -0.2052460859      0.0221156222     0.318
  0.1042      0.7037579183     -6.7539147629     -0.2054501747      0.0221603363     0.304
  0.1043      0.7037784735     -6.7476363712     -0.2056542839      0.0222051023     0.280
  0.1044      0.7037990491     -6.7413702026     -0.2058584134      0.0222499186     0.290
  0.1045      0.7038196452     -6.7351162220     -0.2060625633      0.0222947897     0.275
  0.1046      0.7038402617     -6.7288743945     -0.2062667336      0.0223397084     0.267
  0.1047      0.7038608985     -6.7226446852     -0.2064709242      0.0223846826     0.207
  0.1048      0.7038815558     -6.7164270596     -0.2066751353      0.0224297063     0.164
  0.1049      0.7039022336     -6.7102214830     -0.2068793668      0.0224747826     0.166
  0.1050      0.7039229317     -6.7040279211     -0.2070836188      0.0225199092     0.190
  0.1051      0.7039436503     -6.6978463396     -0.2072878913      0.0225650905     0.203
  0.1052      0.7039643893     -6.6916767044     -0.2074921842      0.0226103213     0.216
  0.1053      0.7039851487     -6.6855189813     -0.2076964977      0.0226556034     0.265
  0.1054      0.7040059286     -6.6793731366     -0.2079008318      0.0227009406     0.293
  0.1055      0.7040267289     -6.6732391365     -0.2081051864      0.0227463264     0.280
  0.1056      0.7040475496     -6.6671169473     -0.2083095617      0.0227917664     0.297
  0.1057      0.7040683908     -6.6610065356     -0.2085139575      0.0228372565     0.273
  0.1058      0.7040892524     -6.6549078679     -0.2087183740      0.0228827999     0.286
  0.1059      0.7041101345     -6.6488209111     -0.2089228111      0.0229283956     0.243
  0.1060      0.7041310370     -6.6427456320     -0.2091272689      0.0229740412     0.247
  0.1061      0.7041519599     -6.6366819975     -0.2093317474      0.0230197413     0.228
  0.1062      0.7041729033     -6.6306299749     -0.2095362467      0.0230654934     0.211
  0.1063      0.7041938672     -6.6245895314     -0.2097407667      0.0231112956     0.178
  0.1064      0.7042148515     -6.6185606343     -0.2099453074      0.0231571515     0.138
  0.1065      0.7042358563     -6.6125432512     -0.2101498689      0.0232030599     0.163
  0.1066      0.7042568815     -6.6065373496     -0.2103544513      0.0232490188     0.160
  0.1067      0.7042779271     -6.6005428973     -0.2105590544      0.0232950323     0.194
  0.1068      0.7042989933     -6.5945598621     -0.2107636784      0.0233410949     0.224
  0.1069      0.7043200799     -6.5885882121     -0.2109683233      0.0233872131     0.251
  0.1070      0.7043411869     -6.5826279153     -0.2111729891      0.0234333830     0.223
  0.1071      0.7043623145     -6.5766789400     -0.2113776758      0.0234796024     0.250
  0.1072      0.7043834625     -6.5707412544     -0.2115823834      0.0235258768     0.227
  0.1073      0.7044046310     -6.5648148271     -0.2117871120      0.0235722038     0.225
  0.1074      0.7044258199     -6.5588996266     -0.2119918616      0.0236185827     0.238
  0.1075      0.7044470293     -6.5529956216     -0.2121966322      0.0236650120     0.212
  0.1076      0.7044682592     -6.5471027809     -0.2124014238      0.0237114971     0.214
  0.1077      0.7044895096     -6.5412210734     -0.2126062364      0.0237580323     0.178
  0.1078      0.7045107805     -6.5353504682     -0.2128110701      0.0238046218     0.150
  0.1079      0.7045320718     -6.5294909344     -0.2130159249      0.0238512625     0.144
  0.1080      0.7045533837     -6.5236424413     -0.2132208008      0.0238979560     0.161
  0.1081      0.7045747160     -6.5178049582     -0.2134256978      0.0239447032     0.154
  0.1082      0.7045960688     -6.5119784547     -0.2136306160      0.0239915008     0.152
  0.1083      0.7046174421     -6.5061629003     -0.2138355553      0.0240383538     0.179
  0.1084      0.7046388359     -6.5003582648     -0.2140405159      0.0240852576     0.241
  0.1085      0.7046602502     -6.4945645181     -0.2142454976      0.0241322144     0.233
  0.1086      0.7046816850     -6.4887816299     -0.2144505006      0.0241792256     0.228
  0.1087      0.7047031403     -6.4830095705     -0.2146555249      0.0242262869     0.243
  0.1088      0.7047246161     -6.4772483099     -0.2148605704      0.0242734033     0.230
  0.1089      0.7047461124     -6.4714978184     -0.2150656373      0.0243205709     0.236
  0.1090      0.7047676292     -6.4657580664     -0.2152707254      0.0243677924     0.228
  0.1091      0.7047891666     -6.4600290245     -0.2154758350      0.0244150665     0.249
  0.1092      0.7048107244     -6.4543106631     -0.2156809658      0.0244623931     0.251
  0.1093      0.7048323028     -6.4486029530     -0.2158861181      0.0245097734     0.212
  0.1094      0.7048539016     -6.4429058650     -0.2160912918      0.0245572065     0.194
  0.1095      0.7048755210     -6.4372193700     -0.2162964869      0.0246046918     0.176
  0.1096      0.7048971609     -6.4315434391     -0.2165017035      0.0246522313     0.199
  0.1097      0.7049188214     -6.4258780434     -0.2167069415      0.0246998233     0.196
  0.1098      0.7049405023     -6.4202231541     -0.2169122010      0.0247474672     0.182
  0.1099      0.7049622038     -6.4145787425     -0.2171174821      0.0247951668     0.149
  0.1100      0.7049839258     -6.4089447801     -0.2173227847      0.0248429175     0.174
  0.1101      0.7050056684     -6.4033212385     -0.2175281088      0.0248907229     0.203
  0.1102      0.7050274314     -6.3977080892     -0.2177334546      0.0249385794     0.195
  0.1103      0.7050492150     -6.3921053042     -0.2179388219      0.0249864904     0.199
  0.1104      0.7050710192     -6.3865128551     -0.2181442109      0.0250344559     0.186
  0.1105      0.7050928439     -6.3809307139     -0.2183496215      0.0250824722     0.205
  0.1106      0.7051146891     -6.3753588528     -0.2185550538      0.0251305440     0.246
  0.1107      0.7051365549     -6.3697972439     -0.2187605078      0.0251786659     0.262
  0.1108      0.7051584412     -6.3642458594     -0.2189659835      0.0252268458     0.276
  0.1109      0.7051803481     -6.3587046718     -0.2191714809      0.0252750759     0.246
  0.1110      0.7052022755     -6.3531736533     -0.2193770001      0.0253233602     0.249
  0.1111      0.7052242235     -6.3476527768     -0.2195825411      0.0253716966     0.216
  0.1112      0.7052461920     -6.3421420147     -0.2197881038      0.0254200905     0.231
  0.1113      0.7052681811     -6.3366413398     -0.2199936884      0.0254685331     0.226
  0.1114      0.7052901908     -6.3311507250     -0.2201992948      0.0255170328     0.173
  0.1115      0.7053122210     -6.3256701433     -0.2204049231      0.0255655836     0.153
  0.1116      0.7053342718     -6.3201995677     -0.2206105733      0.0256141890     0.165
  0.1117      0.7053563431     -6.3147389713     -0.2208162454      0.0256628488     0.209
  0.1118      0.7053784350     -6.3092883274     -0.2210219394      0.0257115610     0.196
  0.1119      0.7054005475     -6.3038476093     -0.2212276554      0.0257603276     0.208
  0.1120      0.7054226805     -6.2984167905     -0.2214333934      0.0258091480     0.215
  0.1121      0.7054448342     -6.2929958444     -0.2216391533      0.0258580213     0.265
  0.1122      0.7054670084     -6.2875847448     -0.2218449353      0.0259069499     0.266
  0.1123      0.7054892031     -6.2821834652     -0.2220507393      0.0259559291     0.297
  0.1124      0.7055114185     -6.2767919796     -0.2222565654      0.0260049670     0.268
  0.1125      0.7055336545     -6.2714102619     -0.2224624135      0.0260540545     0.288
  0.1126      0.7055559110     -6.2660382859     -0.2226682838      0.0261031973     0.269
  0.1127      0.7055781881     -6.2606760259     -0.2228741762      0.0261523950     0.236
  0.1128      0.7056004858     -6.2553234559     -0.2230800907      0.0262016451     0.242
  0.1129      0.7056228041     -6.2499805503     -0.2232860274      0.0262509512     0.247
  0.1130      0.7056451430     -6.2446472835     -0.2234919863      0.0263003077     0.254
  0.1131      0.7056675025     -6.2393236298     -0.2236979674      0.0263497225     0.204
  0.1132      0.7056898826     -6.2340095638     -0.2239039707      0.0263991889     0.189
  0.1133      0.7057122833     -6.2287050602     -0.2241099964      0.0264487089     0.191
  0.1134      0.7057347046     -6.2234100937     -0.2243160442      0.0264982840     0.194
  0.1135      0.7057571465     -6.2181246391     -0.2245221144      0.0265479145     0.182
  0.1136      0.7057796090     -6.2128486712     -0.2247282069      0.0265975970     0.185
  0.1137      0.7058020922     -6.2075821651     -0.2249343218      0.0266473343     0.192
  0.1138      0.7058245959     -6.2023250959     -0.2251404590      0.0266971267     0.207
  0.1139      0.7058471203     -6.1970774387     -0.2253466186      0.0267469725     0.256
  0.1140      0.7058696652     -6.1918391688     -0.2255528006      0.0267968731     0.234
  0.1141      0.7058922308     -6.1866102614     -0.2257590051      0.0268468267     0.247
  0.1142      0.7059148170     -6.1813906921     -0.2259652320      0.0268968366     0.218
  0.1143      0.7059374239     -6.1761804363     -0.2261714814      0.0269468998     0.247
  0.1144      0.7059600513     -6.1709794697     -0.2263777533      0.0269970172     0.290
  0.1145      0.7059826994     -6.1657877679     -0.2265840477      0.0270471899     0.273
  0.1146      0.7060053681     -6.1606053067     -0.2267903646      0.0270974161     0.272
  0.1147      0.7060280575     -6.1554320619     -0.2269967042      0.0271476971     0.209
  0.1148      0.7060507675     -6.1502680095     -0.2272030663      0.0271980330     0.210
  0.1149      0.7060734981     -6.1451131254     -0.2274094510      0.0272484243     0.187
  0.1150      0.7060962494     -6.1399673859     -0.2276158583      0.0272988663     0.192
  0.1151      0.7061190213     -6.1348307670     -0.2278222883      0.0273493690     0.200
  0.1152      0.7061418138     -6.1297032451     -0.2280287410      0.0273999210     0.185
  0.1153      0.7061646270     -6.1245847964     -0.2282352163      0.0274505304     0.194
  0.1154      0.7061874609     -6.1194753975     -0.2284417144      0.0275011932     0.202
  0.1155      0.7062103154     -6.1143750249     -0.2286482353      0.0275519124     0.226
  0.1156      0.7062331905     -6.1092836550     -0.2288547788      0.0276026845     0.245
  0.1157      0.7062560863     -6.1042012647     -0.2290613452      0.0276535123     0.240
  0.1158      0.7062790028     -6.0991278307     -0.2292679344      0.0277043949     0.226
  0.1159      0.7063019399     -6.0940633297     -0.2294745464      0.0277553322     0.253
  0.1160      0.7063248977     -6.0890077388     -0.2296811813      0.0278063246     0.269
  0.1161      0.7063478762     -6.0839610349     -0.2298878390      0.0278573712     0.306
  0.1162      0.7063708753     -6.0789231951     -0.2300945196      0.0279084743     0.269
  0.1163      0.7063938951     -6.0738941965     -0.2303012231      0.0279596297     0.244
  0.1164      0.7064169355     -6.0688740164     -0.2305079496      0.0280108440     0.219
  0.1165      0.7064399966     -6.0638626322     -0.2307146991      0.0280621092     0.192
  0.1166      0.7064630785     -6.0588600210     -0.2309214715      0.0281134325     0.209
  0.1167      0.7064861809     -6.0538661606     -0.2311282669      0.0281648088     0.197
  0.1168      0.7065093041     -6.0488810283     -0.2313350854      0.0282162419     0.203
