# beta free_energy_per_spin free_energy_std
0.100000 -7.02594905 0.00023312
0.144100 -4.94746995 0.00018799
0.187000 -3.88683208 0.00016015
0.228400 -3.25788459 0.00014853
0.268100 -2.85150135 0.00013251
0.305900 -2.57507840 0.00013571
0.341700 -2.38081187 0.00013039
0.375400 -2.24191363 0.00012968
0.406900 -2.14219793 0.00013860
0.436300 -2.07081350 0.00015133
0.464300 -2.01952334 0.00016347
0.492800 -1.98144457 0.00016931
0.524700 -1.95177950 0.00015848
0.563400 -1.92805350 0.00013117
0.612800 -1.90938831 0.00010540
0.678500 -1.89548814 0.00007756
0.771900 -1.88595502 0.00004904
0.923700 -1.88018906 0.00003002
1.000000 -1.87899369 0.00002551
