beta         AMIS_Cv        
----------------------------
0.100000     0.01959241     
0.110000     0.02390044     
0.120000     0.02889914     
0.130000     0.03417858     
0.140000     0.04027538     
0.150000     0.04676873     
0.160000     0.05406524     
0.170000     0.06151290     
0.180000     0.06997860     
0.190000     0.07935878     
0.200000     0.08950311     
0.210000     0.10059037     
0.220000     0.11281299     
0.230000     0.12584206     
0.240000     0.13979410     
0.250000     0.15585518     
0.260000     0.17235913     
0.270000     0.19075434     
0.280000     0.21061828     
0.290000     0.23196267     
0.300000     0.25639719     
0.310000     0.28192459     
0.320000     0.30976019     
0.330000     0.34122698     
0.340000     0.37460284     
0.350000     0.41054146     
0.360000     0.44890698     
0.370000     0.49356028     
0.380000     0.54251233     
0.390000     0.59823537     
0.400000     0.65794214     
0.410000     0.72476114     
0.420000     0.79522786     
0.430000     0.86904921     
0.440000     0.94429854     
0.440100     0.94472835     
0.440200     0.94677452     
0.440300     0.94606530     
0.440400     0.94823348     
0.440500     0.94721519     
0.440600     0.95003879     
0.440700     0.94977797     
0.440800     0.95044780     
0.440900     0.94954032     
0.441000     0.95097895     
0.441100     0.95141931     
0.441200     0.95533201     
0.441300     0.95432241     
0.441400     0.95652465     
0.441500     0.95534613     
0.441600     0.95796508     
0.441700     0.95875880     
0.441800     0.95716986     
0.441900     0.95604232     
0.442000     0.95988406     
0.442100     0.95801978     
0.442200     0.96076431     
0.442300     0.96366746     
0.442400     0.96299065     
0.442500     0.96434622     
0.442600     0.96512807     
0.442700     0.96434079     
0.442800     0.96553066     
0.442900     0.96364276     
0.443000     0.96634643     
0.443100     0.96650668     
0.443200     0.96606165     
0.443300     0.96867911     
0.443400     0.96998394     
0.443500     0.97168917     
0.443600     0.97062676     
0.443700     0.97114643     
0.443800     0.97356737     
0.443900     0.97300806     
0.444000     0.97246588     
0.444100     0.97571278     
0.444200     0.97544971     
0.444300     0.97603526     
0.444400     0.97666633     
0.444500     0.97760560     
0.444600     0.97618913     
0.444700     0.98064857     
0.444800     0.97707255     
0.444900     0.98166263     
0.445000     0.97769900     
0.445100     0.98139114     
0.445200     0.98226166     
0.445300     0.98285883     
0.445400     0.98466816     
0.445500     0.98232756     
0.445600     0.98627775     
0.445700     0.98837544     
0.445800     0.98769396     
0.445900     0.98690810     
0.446000     0.98802904     
0.446100     0.98847250     
0.446200     0.98854800     
0.446300     0.99005582     
0.446400     0.99134991     
0.446500     0.99016041     
0.446600     0.99043697     
0.446700     0.98968417     
0.446800     0.99390517     
0.446900     0.99327617     
0.447000     0.99639185     
0.447100     0.99668337     
0.447200     0.99596645     
0.447300     0.99624561     
0.447400     0.99766995     
0.447500     0.99949551     
0.447600     0.99927529     
0.447700     0.99947904     
0.447800     1.00043908     
0.447900     0.99897928     
0.448000     1.00016938     
0.448100     1.00198584     
0.448200     1.00248668     
0.448300     1.00649606     
0.448400     1.00358617     
0.448500     1.00467095     
0.448600     1.00577052     
0.448700     1.00604910     
0.448800     1.00516694     
0.448900     1.00686076     
0.449000     1.00857107     
0.449100     1.00989454     
0.449200     1.00948732     
0.449300     1.00910732     
0.449400     1.01075142     
0.449500     1.01098011     
0.449600     1.01458933     
0.449700     1.01159088     
0.449800     1.01401763     
0.449900     1.01411411     
0.450000     1.01498869     
0.450100     1.01464119     
0.450200     1.01507927     
0.450300     1.01849560     
0.450400     1.01967478     
0.450500     1.01789025     
0.450600     1.01627389     
0.450700     1.01912689     
0.450800     1.01979451     
0.450900     1.02322437     
0.451000     1.02184018     
0.451100     1.02430119     
0.451200     1.02357665     
0.451300     1.02125320     
0.451400     1.02180352     
0.451500     1.02401088     
0.451600     1.02658378     
0.451700     1.02545678     
0.451800     1.02477979     
0.451900     1.02875338     
0.452000     1.02708708     
0.452100     1.02768581     
0.452200     1.02661048     
0.452300     1.02856500     
0.452400     1.03014733     
0.452500     1.03149401     
0.452600     1.03269505     
0.452700     1.03167333     
0.452800     1.03299754     
0.452900     1.03459648     
0.453000     1.03333178     
0.453100     1.03542163     
0.453200     1.03462258     
0.453300     1.03500421     
0.453400     1.03497418     
0.453500     1.03818030     
0.453600     1.03636990     
0.453700     1.03893974     
0.453800     1.03971555     
0.453900     1.04166167     
0.454000     1.04340038     
0.454100     1.04094651     
0.454200     1.04318622     
0.454300     1.04248134     
0.454400     1.04076319     
0.454500     1.04421992     
0.454600     1.04399511     
0.454700     1.04518164     
0.454800     1.04359181     
0.454900     1.04544279     
0.455000     1.04507822     
0.455100     1.04760663     
0.455200     1.04817739     
0.455300     1.04866471     
0.455400     1.04951976     
0.455500     1.04894117     
0.455600     1.04714552     
0.455700     1.05345864     
0.455800     1.05159927     
0.455900     1.04830662     
0.456000     1.05253453     
0.456100     1.05425296     
0.456200     1.05284199     
0.456300     1.05126096     
0.456400     1.05489654     
0.456500     1.05644362     
0.456600     1.05603103     
0.456700     1.05809658     
0.456800     1.05711082     
0.456900     1.05696572     
0.457000     1.05611242     
0.457100     1.05915834     
0.457200     1.05831735     
0.457300     1.06051030     
0.457400     1.05860375     
0.457500     1.05922695     
0.457600     1.06314451     
0.457700     1.05929589     
0.457800     1.06208391     
0.457900     1.06194817     
0.458000     1.06238757     
0.458100     1.06352437     
0.458200     1.06389841     
0.458300     1.06478745     
0.458400     1.06450436     
0.458500     1.06354019     
0.458600     1.06567163     
0.458700     1.06714743     
0.458800     1.06447994     
0.458900     1.06864444     
0.459000     1.06954976     
0.459100     1.06800845     
0.459200     1.06744980     
0.459300     1.06675079     
0.459400     1.07015368     
0.459500     1.06815124     
0.459600     1.06724801     
0.459700     1.07355129     
0.459800     1.07080995     
0.459900     1.07168584     
0.460000     1.07303367     
0.470000     1.10586949     
0.480000     1.11503830     
0.490000     1.09513632     
0.500000     1.04801544     
0.510000     0.98931353     
0.520000     0.92178783     
0.530000     0.85340279     
0.540000     0.79161494     
0.550000     0.73342999     
0.560000     0.67937161     
0.570000     0.62741087     
0.580000     0.58373637     
0.590000     0.54417508     
0.600000     0.50542807     
0.610000     0.47139601     
0.620000     0.44283611     
0.630000     0.41445523     
0.640000     0.38737431     
0.650000     0.36354911     
0.660000     0.34206662     
0.670000     0.32177132     
0.680000     0.30279457     
0.690000     0.28417310     
0.700000     0.26824061     
0.710000     0.25283691     
0.720000     0.23878144     
0.730000     0.22571398     
0.740000     0.21263584     
0.750000     0.20096398     
0.760000     0.19010859     
0.770000     0.17958489     
0.780000     0.17062707     
0.790000     0.16064239     
0.800000     0.15261137     
0.810000     0.14451544     
0.820000     0.13677421     
0.830000     0.12946791     
0.840000     0.12284701     
0.850000     0.11625667     
0.860000     0.11053941     
0.870000     0.10459296     
0.880000     0.09943208     
0.890000     0.09447529     
0.900000     0.08966067     
0.910000     0.08468501     
0.920000     0.08068001     
0.930000     0.07663094     
0.940000     0.07276219     
0.950000     0.06914584     
0.960000     0.06561593     
0.970000     0.06226953     
0.980000     0.05913953     
0.990000     0.05632946     
1.000000     0.05332920     
