beta         AMIS_Cv        
----------------------------
0.100000     0.01952673     
0.144100     0.04292676     
0.187000     0.07640418     
0.228400     0.12368865     
0.268100     0.18767071     
0.305900     0.27107380     
0.341700     0.38017073     
0.375400     0.51936358     
0.406900     0.70301290     
0.436300     0.91792521     
0.464300     1.09173651     
0.492800     1.08219456     
0.524700     0.88785745     
0.563400     0.66076121     
0.612800     0.46467810     
0.678500     0.30588874     
0.771900     0.17798482     
0.923700     0.07916956     
1.000000     0.05349645     
