# beta E_per_spin std_E M_per_spin std_M Cv_per_spin
0.100000 -0.20339328 0.00070430 0.06242625 0.00024756 0.02108172
0.142600 -0.29528125 0.00097912 0.06990336 0.00027702 0.04517331
0.184000 -0.38958844 0.00126900 0.07971344 0.00031632 0.08024143
0.223900 -0.48860797 0.00157731 0.09258273 0.00036620 0.12904706
0.262000 -0.59070188 0.00189742 0.10997617 0.00043409 0.19498141
0.298200 -0.69868828 0.00223722 0.13393984 0.00052753 0.28126467
0.332300 -0.81323750 0.00259915 0.17167602 0.00067192 0.40161718
0.364100 -0.93949750 0.00299975 0.23321211 0.00089942 0.58383202
0.393300 -1.08838031 0.00347627 0.34991820 0.00129791 0.94589615
0.419400 -1.27710094 0.00407793 0.53936898 0.00186268 1.43999477
0.442600 -1.46557813 0.00466653 0.72136492 0.00235816 1.49197283
0.465300 -1.61080859 0.00511397 0.83523875 0.00266737 1.14110472
0.492500 -1.72119984 0.00545475 0.89937633 0.00285182 0.80323180
0.529700 -1.81652250 0.00575090 0.94111516 0.00297838 0.54350793
0.581200 -1.89072594 0.00598247 0.96765172 0.00306082 0.36233916
0.654000 -1.94491031 0.00615193 0.98466523 0.00311407 0.21690220
0.768400 -1.98004766 0.00626197 0.99471633 0.00314564 0.10227535
1.000000 -1.99704797 0.00631526 0.99924773 0.00315989 0.02452222
