# beta free_energy_per_spin free_energy_std
0.100000 -7.03230683 0.00065551
0.142600 -5.00583899 0.00048569
0.184000 -3.95645506 0.00041430
0.223900 -3.32949122 0.00039901
0.262000 -2.92362747 0.00052524
0.298200 -2.64686349 0.00041508
0.332300 -2.45272748 0.00051741
0.364100 -2.31491321 0.00056056
0.393300 -2.21804473 0.00062593
0.419400 -2.15332621 0.00062678
0.442600 -2.11246685 0.00072501
0.465300 -2.08474347 0.00064624
0.492500 -2.06189935 0.00051882
0.529700 -2.04164264 0.00032406
0.581200 -2.02531324 0.00021231
0.654000 -2.01374837 0.00014815
0.768400 -2.00659490 0.00011038
1.000000 -2.00305452 0.00009147
