beta         f_adaptive         f_exact_pbc        rel_err        
---------------------------------------------------------------
0.100000     -7.0324253612      -7.0323124229      1.605991e-05   
0.109091     -6.4640970943      -6.4640332638      9.874715e-06   
0.118182     -5.9846889958      -5.9846658344      3.870129e-06   
0.127273     -5.5752154930      -5.5751718493      7.828224e-06   
0.136364     -5.2215870765      -5.2215911115      7.727534e-07   
0.145455     -4.9134429254      -4.9134546477      2.385765e-06   
0.154545     -4.6427004821      -4.6427579173      1.237092e-05   
0.163636     -4.4031865489      -4.4032762908      2.038071e-05   
0.172727     -4.1900835187      -4.1900966975      3.145217e-06   
0.181818     -3.9992398844      -3.9992897852      1.247741e-05   
0.190909     -3.8276230230      -3.8276757542      1.377629e-05   
0.200000     -3.6726403594      -3.6726540616      3.730894e-06   
0.209091     -3.5320851080      -3.5320775586      2.137401e-06   
0.218182     -3.4041699477      -3.4041581004      3.480245e-06   
0.227273     -3.2873425961      -3.2873948207      1.588632e-05   
0.236364     -3.1804713017      -3.1805189677      1.498688e-05   
0.245455     -3.0824325730      -3.0824510115      5.981771e-06   
0.254545     -2.9922106163      -2.9922669569      1.882873e-05   
0.263636     -2.9091587972      -2.9091716440      4.415974e-06   
0.272727     -2.8324604889      -2.8324774095      5.973795e-06   
0.281818     -2.7615723959      -2.7615869065      5.254428e-06   
0.290909     -2.6959747075      -2.6959791818      1.659612e-06   
0.300000     -2.6352164053      -2.6351983368      6.856614e-06   
0.309091     -2.5788621669      -2.5788442630      6.942577e-06   
0.318182     -2.5265866771      -2.5265650775      8.548967e-06   
0.327273     -2.4780578082      -2.4780509887      2.751974e-06   
0.336364     -2.4330372504      -2.4330294235      3.216912e-06   
0.345455     -2.3912576626      -2.3912613436      1.539317e-06   
0.354545     -2.3525650744      -2.3525387839      1.117537e-05   
0.363636     -2.3167191435      -2.3166837647      1.527134e-05   
0.372727     -2.2836102942      -2.2835488064      2.692642e-05   
0.381818     -2.2530871030      -2.2530191867      3.014457e-05   
0.390909     -2.2250775338      -2.2250164169      2.746808e-05   
0.400000     -2.1995549056      -2.1995004566      2.475518e-05   
0.409091     -2.1764964268      -2.1764643777      1.472527e-05   
0.418182     -2.1559482989      -2.1559117618      1.694743e-05   
0.427273     -2.1378143168      -2.1378126106      7.980868e-07   
0.436364     -2.1220550664      -2.1220553034      1.116949e-07   
0.445455     -2.1084344805      -2.1084309549      1.672129e-06   
0.454545     -2.0966602470      -2.0966661546      2.817597e-06   
0.463636     -2.0864732378      -2.0864769923      1.799461e-06   
0.472727     -2.0776163093      -2.0776083840      3.814594e-06   
0.481818     -2.0698393701      -2.0698482023      4.267083e-06   
0.490909     -2.0630248011      -2.0630252425      2.139627e-07   
0.500000     -2.0569884918      -2.0570016440      6.393877e-06   
0.509091     -2.0516380959      -2.0516652759      1.324776e-05   
0.518182     -2.0468754787      -2.0469237127      2.356414e-05   
0.527273     -2.0426758487      -2.0426998119      1.173117e-05   
0.536364     -2.0388951027      -2.0389285038      1.638167e-05   
0.545455     -2.0355382297      -2.0355544285      7.957906e-06   
0.554545     -2.0325053715      -2.0325301561      1.219393e-05   
0.563636     -2.0298085803      -2.0298148138      3.070969e-06   
0.572727     -2.0273524567      -2.0273730069      1.013638e-05   
0.581818     -2.0251590226      -2.0251739549      7.373346e-06   
0.590909     -2.0231874469      -2.0231907916      1.653184e-06   
0.600000     -2.0214033237      -2.0213999908      1.648810e-06   
0.609091     -2.0197989890      -2.0197808910      8.960350e-06   
0.618182     -2.0183202251      -2.0183152990      2.440672e-06   
0.627273     -2.0169899146      -2.0169871566      1.367356e-06   
0.636364     -2.0157906967      -2.0157822591      4.185726e-06   
