# beta E_per_spin std_E M_per_spin std_M Cv_per_spin
0.100000 -0.19683555 0.00063822 0.03109236 0.00012326 0.02036098
0.121800 -0.24140924 0.00077665 0.03275045 0.00012992 0.03099906
0.143400 -0.28700594 0.00091891 0.03457598 0.00013698 0.04355388
0.164700 -0.33327699 0.00106409 0.03695908 0.00014646 0.05988404
0.185600 -0.38047090 0.00121235 0.03933531 0.00015614 0.07837717
0.206100 -0.42824117 0.00136273 0.04229240 0.00016749 0.10068758
0.226200 -0.47680416 0.00151573 0.04536725 0.00017962 0.12599889
0.245900 -0.52687363 0.00167366 0.04913436 0.00019470 0.15609263
0.265100 -0.57764816 0.00183395 0.05349561 0.00021212 0.19158140
0.283900 -0.63012412 0.00199962 0.05828191 0.00023078 0.23075049
0.302200 -0.68373389 0.00216900 0.06445979 0.00025536 0.27761873
0.320000 -0.73920029 0.00234425 0.07199166 0.00028454 0.32935552
0.337200 -0.79685340 0.00252647 0.08135951 0.00032099 0.38853544
0.353900 -0.85546609 0.00271180 0.09266395 0.00036598 0.45798930
0.370000 -0.91689973 0.00290613 0.10714475 0.00042186 0.54169608
0.385500 -0.98084363 0.00310841 0.12737018 0.00049987 0.63582080
0.400300 -1.04730980 0.00331882 0.15614602 0.00060915 0.75677779
0.414400 -1.11656084 0.00353799 0.19626418 0.00075748 0.88674751
0.427800 -1.18932031 0.00376840 0.25781941 0.00097276 1.05184332
0.440500 -1.26628498 0.00401212 0.34753426 0.00126339 1.24190407
0.452700 -1.34665820 0.00426618 0.46522090 0.00161489 1.37689677
0.464900 -1.42634973 0.00451739 0.59182545 0.00196973 1.37740211
0.477800 -1.50232008 0.00475627 0.70343289 0.00227547 1.23060487
0.492100 -1.57214543 0.00497578 0.78716453 0.00251055 1.04645746
0.508200 -1.63316875 0.00516767 0.84336307 0.00267587 0.86401609
0.526400 -1.68681727 0.00533655 0.88276307 0.00279543 0.72462016
0.547100 -1.73443332 0.00548653 0.91188188 0.00288560 0.60412888
0.570700 -1.77601994 0.00561757 0.93407258 0.00295483 0.49976676
0.597900 -1.81236508 0.00573215 0.95152055 0.00300954 0.41023178
0.629600 -1.84352990 0.00583042 0.96513057 0.00305233 0.33142096
0.667100 -1.86948975 0.00591230 0.97561963 0.00308536 0.25887252
0.712600 -1.89107303 0.00598038 0.98381063 0.00311118 0.19519283
0.769700 -1.90823254 0.00603452 0.99003676 0.00313081 0.13834765
0.845200 -1.92130506 0.00607577 0.99457406 0.00314513 0.08924905
0.954500 -1.93032184 0.00610423 0.99760402 0.00315470 0.04818657
1.000000 -1.93235158 0.00611063 0.99828143 0.00315683 0.03721346
