2D Ising Model Multi-Temperature Free Energy Training Summary
======================================================================
L = 32
N = 1024
Boundary = OBC
Number of temperatures = 36
Temperatures (beta) = [0.1, 0.1218, 0.1434, 0.1647, 0.1856, 0.2061, 0.2262, 0.2459, 0.2651, 0.2839, 0.3022, 0.32, 0.3372, 0.3539, 0.37, 0.3855, 0.4003, 0.4144, 0.4278, 0.4405, 0.4527, 0.4649, 0.4778, 0.4921, 0.5082, 0.5264, 0.5471, 0.5707, 0.5979, 0.6296, 0.6671, 0.7126, 0.7697, 0.8452, 0.9545, 1.0]
total_batch_size = 2000  (samples_per_temp = 55)
Annealing strategy = THREE-PHASE CRITICAL
  Phase 1 (0-20%):   factor 0.00 -> 0.35 [fast warmup]
  Phase 2 (20-70%):  factor 0.35 -> 0.55 [critical wandering]
  Phase 3 (70-100%): factor 0.55 -> 1.00 [low-T hardening]
Annealing steps = 8000
Warmup steps = 2000
Seed = 7
Training steps = 10000
Model parameters = 2334736
Z2 symmetry = ENABLED

Final Free Energy Results:
----------------------------------------------------------------------
Beta       F/n             std(F/n)       
----------------------------------------------------------------------
0.1000     -7.02912822     0.00020773     
0.1218     -5.81027730     0.00016783     
0.1434     -4.97490952     0.00013778     
0.1647     -4.37164580     0.00011953     
0.1856     -3.91954037     0.00011430     
0.2061     -3.56987015     0.00010935     
0.2262     -3.29284035     0.00010983     
0.2459     -3.06921616     0.00011766     
0.2651     -2.88689701     0.00013041     
0.2839     -2.73569084     0.00014603     
0.3022     -2.60979271     0.00016202     
0.3200     -2.50418845     0.00018391     
0.3372     -2.41560565     0.00020678     
0.3539     -2.34057563     0.00022687     
0.3700     -2.27727533     0.00024516     
0.3855     -2.22383936     0.00026000     
0.4003     -2.17908792     0.00027170     
0.4144     -2.14173142     0.00029114     
0.4278     -2.11074965     0.00032521     
0.4405     -2.08529580     0.00035881     
0.4527     -2.06431769     0.00037662     
0.4649     -2.04656370     0.00035932     
0.4778     -2.03090674     0.00031547     
0.4921     -2.01662062     0.00025510     
0.5082     -2.00355595     0.00019310     
0.5264     -1.99172651     0.00015158     
0.5471     -1.98113921     0.00011713     
0.5707     -1.97184270     0.00009204     
0.5979     -1.96380186     0.00007159     
0.6296     -1.95699521     0.00005656     
0.6671     -1.95138371     0.00004734     
0.7126     -1.94688867     0.00003863     
0.7697     -1.94343578     0.00003209     
0.8452     -1.94093423     0.00002737     
0.9545     -1.93927758     0.00002034     
1.0000     -1.93892032     0.00002120     
