beta         E/n             |m|            
---------------------------------------------
0.100000     -0.19983426     0.01547288     
0.108000     -0.21672973     0.01584136     
0.116000     -0.23349412     0.01609570     
0.124000     -0.25034787     0.01644707     
0.132000     -0.26737344     0.01679909     
0.140000     -0.28482563     0.01720615     
0.148000     -0.30243217     0.01757629     
0.156000     -0.32027171     0.01786349     
0.164000     -0.33773020     0.01847802     
0.172000     -0.35550447     0.01897015     
0.180000     -0.37371135     0.01949124     
0.188000     -0.39239552     0.02024698     
0.196000     -0.41156654     0.02091845     
0.204000     -0.43074373     0.02155936     
0.212000     -0.45001530     0.02219244     
0.220000     -0.46964596     0.02274542     
0.228000     -0.48977385     0.02330847     
0.236000     -0.51047056     0.02401200     
0.244000     -0.53162165     0.02495835     
0.252000     -0.55281605     0.02593955     
0.260000     -0.57447536     0.02693070     
0.268000     -0.59655044     0.02817911     
0.276000     -0.61900937     0.02907685     
0.284000     -0.64236763     0.03027954     
0.292000     -0.66624585     0.03132751     
0.300000     -0.69073101     0.03229467     
0.308000     -0.71633046     0.03370002     
0.316000     -0.74195489     0.03546582     
0.324000     -0.76790202     0.03738965     
0.332000     -0.79531504     0.03993930     
0.340000     -0.82393007     0.04281365     
0.348000     -0.85309018     0.04586518     
0.356000     -0.88370880     0.04964612     
0.364000     -0.91496618     0.05391610     
0.372000     -0.94735162     0.05868878     
0.380000     -0.98168831     0.06515580     
0.388000     -1.01756904     0.07236876     
0.396000     -1.05565073     0.08091638     
0.404000     -1.09609896     0.09377007     
0.412000     -1.13859139     0.11063164     
0.420000     -1.18476203     0.13495311     
0.422000     -1.19694824     0.14418128     
0.424000     -1.20950433     0.15529977     
0.426000     -1.22218174     0.16646964     
0.428000     -1.23548599     0.18055417     
0.430000     -1.24921082     0.19537097     
0.432000     -1.26310553     0.21295677     
0.434000     -1.27729822     0.23238957     
0.436000     -1.29188797     0.25392620     
0.438000     -1.30686821     0.27904279     
0.440000     -1.32248964     0.30838870     
0.442000     -1.33884677     0.33971481     
0.444000     -1.35513299     0.37373279     
0.446000     -1.37197383     0.41072816     
0.448000     -1.38871098     0.44902190     
0.450000     -1.40560781     0.48795082     
0.452000     -1.42240242     0.52600730     
0.454000     -1.43844746     0.56105990     
0.456000     -1.45407305     0.59506233     
0.458000     -1.46902968     0.62671305     
0.460000     -1.48354346     0.65630337     
0.469153     -1.54167732     0.74923125     
0.478305     -1.58988054     0.80096069     
0.487458     -1.63095414     0.83771461     
0.496610     -1.66462610     0.86270284     
0.505763     -1.69395299     0.88214479     
0.514915     -1.72010996     0.89773040     
0.524068     -1.74366311     0.91054591     
0.533220     -1.76424672     0.92097451     
0.542373     -1.78264337     0.92993574     
0.551525     -1.79898555     0.93753434     
0.560678     -1.81376267     0.94413107     
0.569831     -1.82695996     0.94973297     
0.578983     -1.83880130     0.95460690     
0.588136     -1.84965229     0.95893908     
0.597288     -1.85951751     0.96277317     
0.606441     -1.86860549     0.96625141     
0.615593     -1.87682365     0.96934546     
0.624746     -1.88415994     0.97203963     
0.633898     -1.89090173     0.97451270     
0.643051     -1.89698911     0.97668902     
0.652203     -1.90254331     0.97864625     
0.661356     -1.90766638     0.98043183     
0.670508     -1.91246111     0.98207588     
0.679661     -1.91680525     0.98357018     
0.688814     -1.92074317     0.98489357     
0.697966     -1.92439217     0.98611134     
0.707119     -1.92772026     0.98720268     
0.716271     -1.93080575     0.98820759     
0.725424     -1.93363006     0.98913207     
0.734576     -1.93626904     0.98998861     
0.743729     -1.93861516     0.99073655     
0.752881     -1.94084685     0.99144563     
0.762034     -1.94288692     0.99209419     
0.771186     -1.94478038     0.99268951     
0.780339     -1.94654518     0.99324611     
0.789492     -1.94816182     0.99375659     
0.798644     -1.94966921     0.99422384     
0.807797     -1.95103472     0.99464730     
0.816949     -1.95229757     0.99503865     
0.826102     -1.95346955     0.99539966     
0.835254     -1.95456142     0.99573610     
0.844407     -1.95557258     0.99604699     
0.853559     -1.95650270     0.99632516     
0.862712     -1.95734912     0.99658329     
0.871864     -1.95817286     0.99683532     
0.881017     -1.95891104     0.99705855     
0.890169     -1.95960289     0.99726523     
0.899322     -1.96023702     0.99745658     
0.908475     -1.96081901     0.99762882     
0.917627     -1.96137612     0.99779773     
0.926780     -1.96189238     0.99795420     
0.935932     -1.96235945     0.99809215     
0.945085     -1.96280411     0.99822471     
0.954237     -1.96319996     0.99834234     
0.963390     -1.96358138     0.99845577     
0.972542     -1.96393059     0.99855880     
0.981695     -1.96427496     0.99866173     
0.990847     -1.96457019     0.99874936     
1.000000     -1.96486591     0.99883746     
