beta         f_adaptive         f_exact            rel_err        
---------------------------------------------------------------
0.100000     -7.0307164521      -7.0307209819      6.442807e-07   
0.109091     -6.4622890248      -6.4622910065      3.066622e-07   
0.118182     -5.9827684485      -5.9827711020      4.435219e-07   
0.127273     -5.5731223221      -5.5731228194      8.924825e-08   
0.136364     -5.2193892625      -5.2193857914      6.650488e-07   
0.145455     -4.9110950747      -4.9110908657      8.570356e-07   
0.154545     -4.6402425016      -4.6402333143      1.979918e-06   
0.163636     -4.4005966945      -4.4005883098      1.905362e-06   
0.172727     -4.1872431994      -4.1872425720      1.498364e-07   
0.181818     -3.9962678243      -3.9962665258      3.249309e-07   
0.190909     -3.8244816993      -3.8244801339      4.093326e-07   
0.200000     -3.6692830720      -3.6692825984      1.290842e-07   
0.209091     -3.5285258614      -3.5285264956      1.797380e-07   
0.218182     -3.4004257940      -3.4004233839      7.087580e-07   
0.227273     -3.2834743932      -3.2834720736      7.064486e-07   
0.236364     -3.1764030083      -3.1764034589      1.418658e-07   
0.245455     -3.0781354680      -3.0781376203      6.992279e-07   
0.254545     -2.9877457618      -2.9877501297      1.461915e-06   
0.263636     -2.9044437043      -2.9044453412      5.635736e-07   
0.272727     -2.8275346259      -2.8275350384      1.459108e-07   
0.281818     -2.7564205686      -2.7564212331      2.410859e-07   
0.290909     -2.6905835194      -2.6905822098      4.867070e-07   
0.300000     -2.6295607091      -2.6295611332      1.612935e-07   
0.309091     -2.5729523676      -2.5729566969      1.682622e-06   
0.318182     -2.5204140833      -2.5204154122      5.272466e-07   
0.327273     -2.4716256167      -2.4716252289      1.568837e-07   
0.336364     -2.4263089377      -2.4263102492      5.405256e-07   
0.345455     -2.3842275478      -2.3842263508      5.020728e-07   
0.354545     -2.3451613282      -2.3451575824      1.597251e-06   
0.363636     -2.3089149157      -2.3089132318      7.293039e-07   
0.372727     -2.2753257026      -2.2753255043      8.717840e-08   
0.381818     -2.2442437286      -2.2442477904      1.809864e-06   
0.390909     -2.2155524672      -2.2155535544      4.907288e-07   
0.400000     -2.1891357836      -2.1891359567      7.906670e-08   
0.409091     -2.1649057168      -2.1649084649      1.269378e-06   
0.418182     -2.1428067373      -2.1428069816      1.140440e-07   
0.427273     -2.1227943546      -2.1227944957      6.647283e-08   
0.436364     -2.1048716015      -2.1048691936      1.143970e-06   
0.445455     -2.0890685843      -2.0890661032      1.187666e-06   
0.454545     -2.0753872204      -2.0753862552      4.650881e-07   
0.463636     -2.0636373067      -2.0636376441      1.634924e-07   
0.472727     -2.0534858056      -2.0534861259      1.559944e-07   
0.481818     -2.0446360292      -2.0446372046      5.748686e-07   
0.490909     -2.0368725313      -2.0368721120      2.058168e-07   
0.500000     -2.0300253259      -2.0300243921      4.599570e-07   
0.509091     -2.0239615784      -2.0239621928      3.035577e-07   
0.518182     -2.0185774013      -2.0185782204      4.058155e-07   
0.527273     -2.0137813782      -2.0137835809      1.093842e-06   
0.536364     -2.0095018402      -2.0095036626      9.069093e-07   
0.545455     -2.0056748044      -2.0056752170      2.057235e-07   
0.554545     -2.0022449611      -2.0022442037      3.782853e-07   
0.563636     -1.9991652250      -1.9991641500      5.377185e-07   
0.572727     -1.9963954783      -1.9963948744      3.025101e-07   
0.581818     -1.9939013669      -1.9939014730      5.320657e-08   
0.590909     -1.9916527595      -1.9916535046      3.741442e-07   
0.600000     -1.9896230317      -1.9896243262      6.506470e-07   
0.609091     -1.9877890245      -1.9877905452      7.650162e-07   
0.618182     -1.9861304790      -1.9861315653      5.469685e-07   
0.627273     -1.9846290170      -1.9846292057      9.509249e-08   
0.636364     -1.9832674897      -1.9832673804      5.512975e-08   
0.645455     -1.9820318032      -1.9820318264      1.175090e-08   
0.654545     -1.9809097198      -1.9809098727      7.719821e-08   
0.663636     -1.9798912873      -1.9798902413      5.283053e-07   
0.672727     -1.9789640918      -1.9789628776      6.135694e-07   
0.681818     -1.9781204345      -1.9781188034      8.245715e-07   
0.690909     -1.9773510031      -1.9773499898      5.124536e-07   
0.700000     -1.9766499265      -1.9766492465      3.439872e-07   
0.709091     -1.9760103197      -1.9760101264      9.780253e-08   
0.718182     -1.9754270967      -1.9754268410      1.294128e-07   
0.727273     -1.9748940087      -1.9748941875      9.053379e-08   
0.736364     -1.9744076112      -1.9744074838      6.451535e-08   
0.745455     -1.9739620687      -1.9739625127      2.249283e-07   
0.754545     -1.9735554134      -1.9735554711      2.918871e-08   
0.763636     -1.9731829581      -1.9731829265      1.596819e-08   
0.772727     -1.9728412978      -1.9728417783      2.435471e-07   
0.781818     -1.9725286210      -1.9725292226      3.049801e-07   
0.790909     -1.9722418110      -1.9722427220      4.619055e-07   
0.800000     -1.9719788128      -1.9719799788      5.912772e-07   
0.809091     -1.9717377862      -1.9717389100      5.699804e-07   
0.818182     -1.9715161413      -1.9715176265      7.533597e-07   
0.827273     -1.9713129039      -1.9713144135      7.657960e-07   
0.836364     -1.9711264681      -1.9711277135      6.318043e-07   
0.845455     -1.9709553390      -1.9709561106      3.914604e-07   
0.854545     -1.9707972625      -1.9707983174      5.352296e-07   
0.863636     -1.9706522288      -1.9706531621      4.735665e-07   
0.872727     -1.9705187151      -1.9705195777      4.377343e-07   
0.881818     -1.9703960468      -1.9703965921      2.767016e-07   
0.890909     -1.9702828867      -1.9702833190      2.194043e-07   
0.900000     -1.9701785630      -1.9701789502      1.965455e-07   
0.909091     -1.9700826869      -1.9700827480      3.104235e-08   
0.918182     -1.9699939236      -1.9699940389      5.851512e-08   
0.927273     -1.9699124021      -1.9699122075      9.875163e-08   
0.936364     -1.9698363271      -1.9698366917      1.851392e-07   
0.945455     -1.9697668617      -1.9697669774      5.870063e-08   
0.954545     -1.9697025448      -1.9697025941      2.503653e-08   
0.963636     -1.9696429733      -1.9696431115      7.018206e-08   
0.972727     -1.9695881449      -1.9695881356      4.711131e-09   
0.981818     -1.9695373253      -1.9695373054      1.007378e-08   
0.990909     -1.9694904256      -1.9694902903      6.867674e-08   
1.000000     -1.9694467489      -1.9694467871      1.942163e-08   
