beta          ESS              Norm_ESS       
----------------------------------------------
0.100000      538549.6254      0.7805         
0.104523      581711.0778      0.8431         
0.109045      579636.9775      0.8401         
0.113568      558727.2056      0.8097         
0.118090      540177.1875      0.7829         
0.122613      524333.1555      0.7599         
0.127136      516245.4280      0.7482         
0.131658      518650.4135      0.7517         
0.136181      515332.4198      0.7469         
0.140704      514656.7557      0.7459         
0.145226      515642.3688      0.7473         
0.149749      514123.6582      0.7451         
0.154271      514223.7513      0.7453         
0.158794      514594.2710      0.7458         
0.163317      514279.2350      0.7453         
0.167839      516382.2569      0.7484         
0.172362      513323.1928      0.7439         
0.176884      512802.1946      0.7432         
0.181407      511043.2982      0.7406         
0.185930      510881.8351      0.7404         
0.190452      514148.9789      0.7451         
0.194975      514003.5239      0.7449         
0.199497      513849.1396      0.7447         
0.204020      517880.3924      0.7506         
0.208543      513545.2123      0.7443         
0.213065      509220.0382      0.7380         
0.217588      513060.6286      0.7436         
0.222111      511092.0801      0.7407         
0.226633      514670.2467      0.7459         
0.231156      511955.3684      0.7420         
0.235678      509306.8365      0.7381         
0.240201      511001.6757      0.7406         
0.244724      509591.0350      0.7385         
0.249246      510956.1383      0.7405         
0.253769      504760.8634      0.7315         
0.258291      505826.5972      0.7331         
0.262814      505568.3126      0.7327         
0.267337      508731.3467      0.7373         
0.271859      507042.2411      0.7348         
0.276382      507453.7275      0.7354         
0.280905      508419.6015      0.7368         
0.285427      504977.0973      0.7319         
0.289950      504920.2977      0.7318         
0.294472      503630.7508      0.7299         
0.298995      500471.4223      0.7253         
0.303518      500964.7371      0.7260         
0.308040      499247.6106      0.7235         
0.312563      500495.7163      0.7254         
0.317085      503443.5894      0.7296         
0.321608      501178.7392      0.7263         
0.326131      497820.6532      0.7215         
0.330653      495529.3200      0.7182         
0.335176      493819.4909      0.7157         
0.339698      486222.2739      0.7047         
0.344221      489625.8101      0.7096         
0.348744      489562.6053      0.7095         
0.353266      489941.5630      0.7101         
0.357789      484854.8148      0.7027         
0.362312      481563.2114      0.6979         
0.366834      475230.9567      0.6887         
0.371357      474164.0170      0.6872         
0.375879      473606.0663      0.6864         
0.380402      468201.8461      0.6786         
0.384925      464314.8971      0.6729         
0.389447      464101.3450      0.6726         
0.393970      459192.2877      0.6655         
0.398492      456282.5328      0.6613         
0.403015      451262.8233      0.6540         
0.407538      444827.7029      0.6447         
0.412060      439515.1017      0.6370         
0.416583      434403.7954      0.6296         
0.421106      422204.3149      0.6119         
0.425628      414836.9668      0.6012         
0.430151      400150.2111      0.5799         
0.434673      385102.4273      0.5581         
0.439196      368261.2046      0.5337         
0.443719      364829.9293      0.5287         
0.448241      362857.8115      0.5259         
0.452764      370777.2790      0.5374         
0.457286      391624.3381      0.5676         
0.461809      420013.5705      0.6087         
0.466332      445650.4583      0.6459         
0.470854      456589.7868      0.6617         
0.475377      466767.5723      0.6765         
0.479899      478177.7831      0.6930         
0.484422      486810.9116      0.7055         
0.488945      486976.1577      0.7058         
0.493467      490842.7680      0.7114         
0.497990      494114.2776      0.7161         
0.502513      495216.0473      0.7177         
0.507035      501702.8191      0.7271         
0.511558      501945.9368      0.7275         
0.516080      505381.5857      0.7324         
0.520603      504021.7496      0.7305         
0.525126      501829.2058      0.7273         
0.529648      503792.6226      0.7301         
0.534171      501671.0223      0.7271         
0.538693      505609.1725      0.7328         
0.543216      507442.0222      0.7354         
0.547739      509989.3394      0.7391         
0.552261      507815.3410      0.7360         
0.556784      510072.9572      0.7392         
0.561307      511028.7575      0.7406         
0.565829      507258.6918      0.7352         
0.570352      510448.8549      0.7398         
0.574874      510479.6886      0.7398         
0.579397      509167.6929      0.7379         
0.583920      509248.3338      0.7380         
0.588442      511339.9797      0.7411         
0.592965      509161.1020      0.7379         
0.597487      506992.5690      0.7348         
0.602010      507817.2661      0.7360         
0.606533      512586.8478      0.7429         
0.611055      511190.3358      0.7409         
0.615578      514057.0137      0.7450         
0.620101      511826.9390      0.7418         
0.624623      515147.8854      0.7466         
0.629146      511627.6497      0.7415         
0.633668      510332.2147      0.7396         
0.638191      513896.8467      0.7448         
0.642714      511647.4038      0.7415         
0.647236      512097.5854      0.7422         
0.651759      510881.4376      0.7404         
0.656281      509545.3979      0.7385         
0.660804      509970.6721      0.7391         
0.665327      511816.5478      0.7418         
0.669849      514995.8230      0.7464         
0.674372      513853.2251      0.7447         
0.678894      512804.2293      0.7432         
0.683417      508676.8372      0.7372         
0.687940      511746.7645      0.7417         
0.692462      510440.0426      0.7398         
0.696985      513131.4886      0.7437         
0.701508      514103.6686      0.7451         
0.706030      512663.7354      0.7430         
0.710553      511267.3519      0.7410         
0.715075      510558.5013      0.7399         
0.719598      509390.4242      0.7382         
0.724121      511396.8066      0.7412         
0.728643      511111.0543      0.7407         
