beta          ESS              Norm_ESS       
----------------------------------------------
0.100000      538621.7247      0.7806         
0.110900      571811.4190      0.8287         
0.121700      526272.9766      0.7627         
0.132500      513923.6084      0.7448         
0.143200      512989.8788      0.7435         
0.153800      515911.6928      0.7477         
0.164300      512837.9016      0.7432         
0.174700      512049.3883      0.7421         
0.185000      510129.4299      0.7393         
0.195200      516398.2070      0.7484         
0.205300      512004.2647      0.7420         
0.215300      510866.8572      0.7404         
0.225200      511800.1690      0.7417         
0.235000      512512.2503      0.7428         
0.244700      507752.7993      0.7359         
0.254300      508585.4772      0.7371         
0.263800      503967.9094      0.7304         
0.273200      508992.7925      0.7377         
0.282400      506463.7907      0.7340         
0.291500      507206.2676      0.7351         
0.300500      503379.6769      0.7295         
0.309400      500758.2245      0.7257         
0.318100      500619.1619      0.7255         
0.326700      497503.5169      0.7210         
0.335200      490145.0437      0.7104         
0.343500      489219.4366      0.7090         
0.351700      487390.9525      0.7064         
0.359700      481214.9414      0.6974         
0.367600      477874.9283      0.6926         
0.375300      471101.3162      0.6828         
0.382800      463351.8626      0.6715         
0.390200      466065.2907      0.6755         
0.397400      459170.5983      0.6655         
0.404400      450422.7598      0.6528         
0.411200      441569.4983      0.6400         
0.417800      431534.5336      0.6254         
0.424200      416468.9837      0.6036         
0.430300      400127.3163      0.5799         
0.436200      379465.3495      0.5499         
0.441900      367058.4245      0.5320         
0.447400      360341.7875      0.5222         
0.452900      370452.7371      0.5369         
0.458600      401947.4395      0.5825         
0.464600      433158.1965      0.6278         
0.471100      458804.3817      0.6649         
0.478000      475336.2800      0.6889         
0.485400      488785.0482      0.7084         
0.493300      491212.2863      0.7119         
0.501800      497707.7280      0.7213         
0.510800      499310.4518      0.7236         
0.520400      499629.1288      0.7241         
0.530700      497076.7845      0.7204         
0.541700      503599.4515      0.7299         
0.553500      509011.0667      0.7377         
0.566100      507355.5060      0.7353         
0.579700      508220.4068      0.7366         
0.594400      511206.6192      0.7409         
0.610300      510144.4316      0.7393         
0.627600      514567.6125      0.7458         
0.646600      508396.9447      0.7368         
0.667500      515821.5083      0.7476         
0.690700      515852.4892      0.7476         
0.716700      509429.1165      0.7383         
0.746200      511888.4103      0.7419         
0.780100      509374.3327      0.7382         
0.819900      514141.5792      0.7451         
0.867700      524072.8695      0.7595         
0.927400      577211.3098      0.8365         
1.000000      536317.0238      0.7773         
