beta         AMIS_Cv        
----------------------------
0.100000     0.02075242     
0.110000     0.02529051     
0.120000     0.03042841     
0.130000     0.03602484     
0.140000     0.04245411     
0.150000     0.04901728     
0.160000     0.05637832     
0.170000     0.06551685     
0.180000     0.07463941     
0.190000     0.08465529     
0.200000     0.09612942     
0.210000     0.10783107     
0.220000     0.11965469     
0.230000     0.13460612     
0.240000     0.15079805     
0.250000     0.16837399     
0.260000     0.18664585     
0.270000     0.20511690     
0.280000     0.22850272     
0.290000     0.25039403     
0.300000     0.27850665     
0.310000     0.31013977     
0.320000     0.34081291     
0.330000     0.37355522     
0.340000     0.41620626     
0.350000     0.45701100     
0.360000     0.50810893     
0.370000     0.56367854     
0.380000     0.64059453     
0.390000     0.71303285     
0.400000     0.79918042     
0.410000     0.92527142     
0.420000     1.05738550     
0.430000     1.27692210     
0.440000     1.50834171     
0.440100     1.50968442     
0.440200     1.50988525     
0.440300     1.51542809     
0.440400     1.51793067     
0.440500     1.51722729     
0.440600     1.52108317     
0.440700     1.52487805     
0.440800     1.52418468     
0.440900     1.53306092     
0.441000     1.53287113     
0.441100     1.53478557     
0.441200     1.53581314     
0.441300     1.54493319     
0.441400     1.54640037     
0.441500     1.54565531     
0.441600     1.55226179     
0.441700     1.55259864     
0.441800     1.55560544     
0.441900     1.55589021     
0.442000     1.56294691     
0.442100     1.56356504     
0.442200     1.56941526     
0.442300     1.57362660     
0.442400     1.57278253     
0.442500     1.57703085     
0.442600     1.57774457     
0.442700     1.57641401     
0.442800     1.58619270     
0.442900     1.58567607     
0.443000     1.58603081     
0.443100     1.59018407     
0.443200     1.59455162     
0.443300     1.59657027     
0.443400     1.59999737     
0.443500     1.60373404     
0.443600     1.60428491     
0.443700     1.60772226     
0.443800     1.61411848     
0.443900     1.61400955     
0.444000     1.61432049     
0.444100     1.61477471     
0.444200     1.62305054     
0.444300     1.62610678     
0.444400     1.62649471     
0.444500     1.62746828     
0.444600     1.62874709     
0.444700     1.63069255     
0.444800     1.63520112     
0.444900     1.63867432     
0.445000     1.64002074     
0.445100     1.64045965     
0.445200     1.64675710     
0.445300     1.65062410     
0.445400     1.65167322     
0.445500     1.64451327     
0.445600     1.65001207     
0.445700     1.65684526     
0.445800     1.65736912     
0.445900     1.65859646     
0.446000     1.65980427     
0.446100     1.66166038     
0.446200     1.66765085     
0.446300     1.66800626     
0.446400     1.66920204     
0.446500     1.66727951     
0.446600     1.67000538     
0.446700     1.67234233     
0.446800     1.67598342     
0.446900     1.67686918     
0.447000     1.67805026     
0.447100     1.67715378     
0.447200     1.67844853     
0.447300     1.67987272     
0.447400     1.67979376     
0.447500     1.68347525     
0.447600     1.68232902     
0.447700     1.68228663     
0.447800     1.68636486     
0.447900     1.68639657     
0.448000     1.68568612     
0.448100     1.68907602     
0.448200     1.69178853     
0.448300     1.68836289     
0.448400     1.69117978     
0.448500     1.69338653     
0.448600     1.69159908     
0.448700     1.69158897     
0.448800     1.69282652     
0.448900     1.69323026     
0.449000     1.69255795     
0.449100     1.69187402     
0.449200     1.69581395     
0.449300     1.69811982     
0.449400     1.69128348     
0.449500     1.69604274     
0.449600     1.69720457     
0.449700     1.69326791     
0.449800     1.69465713     
0.449900     1.68950378     
0.450000     1.69452276     
0.450100     1.69318512     
0.450200     1.69593733     
0.450300     1.69449405     
0.450400     1.69761848     
0.450500     1.68779126     
0.450600     1.68804763     
0.450700     1.69044620     
0.450800     1.68584167     
0.450900     1.68918094     
0.451000     1.69128424     
0.451100     1.68905353     
0.451200     1.69016403     
0.451300     1.68526481     
0.451400     1.68423992     
0.451500     1.68168341     
0.451600     1.68361764     
0.451700     1.68523259     
0.451800     1.67933646     
0.451900     1.67961647     
0.452000     1.67448138     
0.452100     1.67852194     
0.452200     1.67828877     
0.452300     1.67592052     
0.452400     1.67229499     
0.452500     1.67584584     
0.452600     1.67371596     
0.452700     1.67120357     
0.452800     1.66687211     
0.452900     1.66400610     
0.453000     1.65972541     
0.453100     1.66071340     
0.453200     1.66311735     
0.453300     1.65502487     
0.453400     1.65541082     
0.453500     1.65962822     
0.453600     1.65252545     
0.453700     1.65433967     
0.453800     1.64979969     
0.453900     1.65163122     
0.454000     1.64397676     
0.454100     1.64513494     
0.454200     1.63736792     
0.454300     1.64207668     
0.454400     1.64160588     
0.454500     1.63381348     
0.454600     1.63296770     
0.454700     1.63092252     
0.454800     1.63058740     
0.454900     1.62914587     
0.455000     1.62352667     
0.455100     1.62350520     
0.455200     1.61920333     
0.455300     1.62196243     
0.455400     1.61708002     
0.455500     1.61877382     
0.455600     1.60695466     
0.455700     1.61036428     
0.455800     1.60928829     
0.455900     1.60099870     
0.456000     1.60283202     
0.456100     1.60118376     
0.456200     1.59859887     
0.456300     1.59616012     
0.456400     1.59450639     
0.456500     1.59125525     
0.456600     1.58683439     
0.456700     1.58027565     
0.456800     1.58567107     
0.456900     1.58142019     
0.457000     1.57323400     
0.457100     1.57276722     
0.457200     1.57087502     
0.457300     1.57230956     
0.457400     1.56512071     
0.457500     1.56566048     
0.457600     1.56325705     
0.457700     1.56287640     
0.457800     1.56105896     
0.457900     1.55844525     
0.458000     1.55098398     
0.458100     1.54858995     
0.458200     1.54581507     
0.458300     1.54412418     
0.458400     1.54533910     
0.458500     1.54288960     
0.458600     1.53215617     
0.458700     1.53210558     
0.458800     1.52911715     
0.458900     1.52890192     
0.459000     1.52029869     
0.459100     1.52440490     
0.459200     1.51767800     
0.459300     1.51741306     
0.459400     1.51337589     
0.459500     1.50869482     
0.459600     1.50737370     
0.459700     1.50364390     
0.459800     1.50348850     
0.459900     1.50074604     
0.460000     1.50010386     
0.470000     1.24577759     
0.480000     1.06861028     
0.490000     0.92930638     
0.500000     0.83107306     
0.510000     0.74943363     
0.520000     0.67982465     
0.530000     0.62158320     
0.540000     0.56709031     
0.550000     0.52186286     
0.560000     0.48087396     
0.570000     0.44379136     
0.580000     0.41374895     
0.590000     0.38489428     
0.600000     0.35921459     
0.610000     0.33490764     
0.620000     0.31063936     
0.630000     0.28946875     
0.640000     0.27117746     
0.650000     0.25293432     
0.660000     0.23599037     
0.670000     0.22077504     
0.680000     0.20780788     
0.690000     0.19484532     
0.700000     0.18308926     
0.710000     0.17195354     
0.720000     0.16174354     
0.730000     0.15255774     
0.740000     0.14357802     
0.750000     0.13464006     
0.760000     0.12668038     
0.770000     0.11881272     
0.780000     0.11168282     
0.790000     0.10518101     
0.800000     0.09926542     
0.810000     0.09339831     
0.820000     0.08818036     
0.830000     0.08305049     
0.840000     0.07799629     
0.850000     0.07358510     
0.860000     0.06908302     
0.870000     0.06487035     
0.880000     0.06095232     
0.890000     0.05739770     
0.900000     0.05422578     
0.910000     0.05078337     
0.920000     0.04802561     
0.930000     0.04522771     
0.940000     0.04266366     
0.950000     0.04018901     
0.960000     0.03802020     
0.970000     0.03583155     
0.980000     0.03378746     
0.990000     0.03191948     
1.000000     0.02998695     
