beta         AMIS_Cv        
----------------------------
0.100000     0.02076252     
0.110900     0.02575552     
0.121700     0.03145699     
0.132500     0.03757348     
0.143200     0.04462293     
0.153800     0.05163317     
0.164300     0.06034168     
0.174700     0.06963118     
0.185000     0.07936733     
0.195200     0.09040132     
0.205300     0.10219746     
0.215300     0.11401132     
0.225200     0.12725716     
0.235000     0.14229986     
0.244700     0.15867728     
0.254300     0.17655021     
0.263800     0.19325426     
0.273200     0.21216320     
0.282400     0.23406839     
0.291500     0.25416474     
0.300500     0.28016289     
0.309400     0.30830838     
0.318100     0.33543385     
0.326700     0.36147345     
0.335200     0.39678611     
0.343500     0.42834852     
0.351700     0.46449697     
0.359700     0.50577979     
0.367600     0.54904151     
0.375300     0.60202124     
0.382800     0.66169469     
0.390200     0.71391802     
0.397400     0.77515735     
0.404400     0.84804359     
0.411200     0.94322671     
0.417800     1.02665993     
0.424200     1.13272011     
0.430300     1.28360058     
0.436200     1.41755159     
0.441900     1.55491676     
0.447400     1.68233414     
0.452900     1.66470105     
0.458600     1.53600908     
0.464600     1.37812252     
0.471100     1.22369538     
0.478000     1.09760444     
0.485400     0.99152079     
0.493300     0.89133224     
0.501800     0.81698401     
0.510800     0.74412048     
0.520400     0.67662074     
0.530700     0.61765612     
0.541700     0.56048387     
0.553500     0.50578298     
0.566100     0.45764529     
0.579700     0.41430084     
0.594400     0.37428602     
0.610300     0.33461508     
0.627600     0.29393525     
0.646600     0.25876251     
0.667500     0.22429251     
0.690700     0.19386254     
0.716700     0.16554867     
0.746200     0.13776380     
0.780100     0.11157521     
0.819900     0.08813802     
0.867700     0.06563116     
0.927400     0.04581647     
1.000000     0.03004414     
