# beta E_per_spin std_E M_per_spin std_M Cv_per_spin
0.100000 -0.20026983 0.00063729 0.01560069 0.00006183 0.02073325
0.110900 -0.22291032 0.00070854 0.01587989 0.00006298 0.02589572
0.121700 -0.24574347 0.00078042 0.01644341 0.00006516 0.03128994
0.132500 -0.26867068 0.00085267 0.01690952 0.00006686 0.03752138
0.143200 -0.29168422 0.00092528 0.01750229 0.00006932 0.04500099
0.153800 -0.31510130 0.00099913 0.01796436 0.00007119 0.05222357
0.164300 -0.33844962 0.00107284 0.01851030 0.00007343 0.06096763
0.174700 -0.36195364 0.00114702 0.01921327 0.00007609 0.06942113
0.185000 -0.38559319 0.00122168 0.01986041 0.00007870 0.07986435
0.195200 -0.40964405 0.00129764 0.02051937 0.00008121 0.09045900
0.205300 -0.43385385 0.00137412 0.02127863 0.00008423 0.10248270
0.215300 -0.45819053 0.00145100 0.02210177 0.00008755 0.11483496
0.225200 -0.48250314 0.00152782 0.02280147 0.00009042 0.12824540
0.235000 -0.50778865 0.00160772 0.02379564 0.00009433 0.14250005
0.244700 -0.53333495 0.00168846 0.02490076 0.00009874 0.15894569
0.254300 -0.55877943 0.00176887 0.02583998 0.00010227 0.17483560
0.263800 -0.58500918 0.00185179 0.02701558 0.00010704 0.19346611
0.273200 -0.61117770 0.00193450 0.02827894 0.00011207 0.21217437
0.282400 -0.63761724 0.00201809 0.02960284 0.00011726 0.23388970
0.291500 -0.66493152 0.00210443 0.03111415 0.00012346 0.25554332
0.300500 -0.69231595 0.00219102 0.03293164 0.00013055 0.28129885
0.309400 -0.72025333 0.00227934 0.03468384 0.00013753 0.30648552
0.318100 -0.74846396 0.00236853 0.03664033 0.00014517 0.33158960
0.326700 -0.77709830 0.00245907 0.03883222 0.00015379 0.36171711
0.335200 -0.80668371 0.00255262 0.04150109 0.00016448 0.39246178
0.343500 -0.83567913 0.00264431 0.04454110 0.00017632 0.42826673
0.351700 -0.86666135 0.00274228 0.04775792 0.00018911 0.46458710
0.359700 -0.89768080 0.00284039 0.05166958 0.00020438 0.50933941
0.367600 -0.92950278 0.00294103 0.05632822 0.00022287 0.55239901
0.375300 -0.96099750 0.00304064 0.06146654 0.00024295 0.60276212
0.382800 -0.99313839 0.00314229 0.06746668 0.00026657 0.65224700
0.390200 -1.02822332 0.00325328 0.07536287 0.00029787 0.71637448
0.397400 -1.06179442 0.00335946 0.08423350 0.00033241 0.77870156
0.404400 -1.09825398 0.00347481 0.09616969 0.00037885 0.85691138
0.411200 -1.13494903 0.00359088 0.11075957 0.00043531 0.93238341
0.417800 -1.17224762 0.00370891 0.12960455 0.00050815 1.03483602
0.424200 -1.21054790 0.00383009 0.15749800 0.00061265 1.14211742
0.430300 -1.25172618 0.00396042 0.19862027 0.00075956 1.28097945
0.436200 -1.29347287 0.00409254 0.25785425 0.00096112 1.42995359
0.441900 -1.33730457 0.00423128 0.34205651 0.00122296 1.60271140
0.447400 -1.38204245 0.00437274 0.44339683 0.00151843 1.68878737
0.452900 -1.42996727 0.00452412 0.55353869 0.00182606 1.66172186
0.458600 -1.47429397 0.00466403 0.64592643 0.00208272 1.54573797
0.464600 -1.51479808 0.00479180 0.71384396 0.00227748 1.36853998
0.471100 -1.55293162 0.00491216 0.76392744 0.00242574 1.23226616
0.478000 -1.58796968 0.00502274 0.80113070 0.00253871 1.09663922
0.485400 -1.62156085 0.00512880 0.83074306 0.00263006 0.99188189
0.493300 -1.65314696 0.00522855 0.85478111 0.00270489 0.90128080
0.501800 -1.68166265 0.00531861 0.87436502 0.00276617 0.82367056
0.510800 -1.70912840 0.00540536 0.89138881 0.00281960 0.74810705
0.520400 -1.73485063 0.00548661 0.90582909 0.00286502 0.67628253
0.530700 -1.75873672 0.00556207 0.91835247 0.00290446 0.61632771
0.541700 -1.78126488 0.00563324 0.92928010 0.00293891 0.56313588
0.553500 -1.80222583 0.00569947 0.93900592 0.00296959 0.51008399
0.566100 -1.82165778 0.00576086 0.94746328 0.00299628 0.45986275
0.579700 -1.83975354 0.00581804 0.95500420 0.00302009 0.41464195
0.594400 -1.85664186 0.00587141 0.96172434 0.00304131 0.37433063
0.610300 -1.87203402 0.00592005 0.96761120 0.00305991 0.33252075
0.627600 -1.88609969 0.00596449 0.97281670 0.00307635 0.29529796
0.646600 -1.89911186 0.00600562 0.97747937 0.00309108 0.26102046
0.667500 -1.91089947 0.00604287 0.98156922 0.00310401 0.22523035
0.690700 -1.92145430 0.00607622 0.98514629 0.00311531 0.19622519
0.716700 -1.93090982 0.00610611 0.98826463 0.00312517 0.16648647
0.746200 -1.93920756 0.00613233 0.99093656 0.00313361 0.13762714
0.780100 -1.94643500 0.00615517 0.99322257 0.00314084 0.11107376
0.819900 -1.95266234 0.00617486 0.99515041 0.00314693 0.08715519
0.867700 -1.95775598 0.00619095 0.99670788 0.00315185 0.06559662
0.927400 -1.96188415 0.00620400 0.99795208 0.00315579 0.04598730
1.000000 -1.96480478 0.00621323 0.99882526 0.00315855 0.03019350
