# beta free_energy_per_spin free_energy_std
0.100000 -7.03071575 0.00016518
0.110900 -6.36047270 0.00013792
0.121700 -5.81680348 0.00012098
0.132500 -5.36362639 0.00010890
0.143200 -4.98377831 0.00009934
0.153800 -4.66119152 0.00009397
0.164300 -4.38417438 0.00008993
0.174700 -4.14401632 0.00009772
0.185000 -3.93410014 0.00007793
0.195200 -3.74929881 0.00007531
0.205300 -3.58558613 0.00007358
0.215300 -3.43975592 0.00007436
0.225200 -3.30922165 0.00007877
0.235000 -3.19187567 0.00007151
0.244700 -3.08597932 0.00007096
0.254300 -2.99009160 0.00007091
0.263800 -2.90300369 0.00007137
0.273200 -2.82369428 0.00009552
0.282400 -2.75205145 0.00007596
0.291500 -2.68647041 0.00007847
0.300500 -2.62633240 0.00008191
0.309400 -2.57110049 0.00008626
0.318100 -2.52086599 0.00008990
0.326700 -2.47458777 0.00009666
0.335200 -2.43191781 0.00010211
0.343500 -2.39300391 0.00011151
0.351700 -2.35706458 0.00011623
0.359700 -2.32426021 0.00012298
0.367600 -2.29393880 0.00012792
0.375300 -2.26626737 0.00013282
0.382800 -2.24102187 0.00013778
0.390200 -2.21769304 0.00013866
0.397400 -2.19644857 0.00013897
0.404400 -2.17712556 0.00013786
0.411200 -2.15957733 0.00013679
0.417800 -2.14367683 0.00013764
0.424200 -2.12930806 0.00014491
0.430300 -2.11657060 0.00016076
0.436200 -2.10514469 0.00017971
0.441900 -2.09495449 0.00019646
0.447400 -2.08592467 0.00020248
0.452900 -2.07767643 0.00018901
0.458600 -2.06989956 0.00016513
0.464600 -2.06247226 0.00013977
0.471100 -2.05518620 0.00011704
0.478000 -2.04820030 0.00010142
0.485400 -2.04145135 0.00008739
0.493300 -2.03498220 0.00007660
0.501800 -2.02876093 0.00006846
0.510800 -2.02289713 0.00006021
0.520400 -2.01735397 0.00005404
0.530700 -2.01211066 0.00004918
0.541700 -2.00720286 0.00004459
0.553500 -2.00261829 0.00003980
0.566100 -1.99838300 0.00003589
0.579700 -1.99445822 0.00003294
0.594400 -1.99084861 0.00003000
0.610300 -1.98755922 0.00002764
0.627600 -1.98457690 0.00002559
0.646600 -1.98188375 0.00002333
0.667500 -1.97948474 0.00002108
0.690700 -1.97736628 0.00001920
0.716700 -1.97551787 0.00001778
0.746200 -1.97392735 0.00001618
0.780100 -1.97258586 0.00001484
0.819900 -1.97147754 0.00001343
0.867700 -1.97059172 0.00001292
0.927400 -1.96991072 0.00001307
1.000000 -1.96944612 0.00001635
