2D Ising Model Multi-Temperature Free Energy Training Summary
======================================================================
L = 64
N = 4096
Boundary = OBC
Number of temperatures = 69
Temperatures (beta) = [0.1, 0.1109, 0.1217, 0.1325, 0.1432, 0.1538, 0.1643, 0.1747, 0.185, 0.1952, 0.2053, 0.2153, 0.2252, 0.235, 0.2447, 0.2543, 0.2638, 0.2732, 0.2824, 0.2915, 0.3005, 0.3094, 0.3181, 0.3267, 0.3352, 0.3435, 0.3517, 0.3597, 0.3676, 0.3753, 0.3828, 0.3902, 0.3974, 0.4044, 0.4112, 0.4178, 0.4242, 0.4303, 0.4362, 0.4419, 0.4474, 0.4529, 0.4586, 0.4646, 0.4711, 0.478, 0.4854, 0.4933, 0.5018, 0.5108, 0.5204, 0.5307, 0.5417, 0.5535, 0.5661, 0.5797, 0.5944, 0.6103, 0.6276, 0.6466, 0.6675, 0.6907, 0.7167, 0.7462, 0.7801, 0.8199, 0.8677, 0.9274, 1.0]
total_batch_size = 2000  (samples_per_temp = 28)
Annealing strategy = THREE-PHASE CRITICAL
  Phase 1 (0-20%):   factor 0.00 -> 0.35 [fast warmup]
  Phase 2 (20-70%):  factor 0.35 -> 0.55 [critical wandering]
  Phase 3 (70-100%): factor 0.55 -> 1.00 [low-T hardening]
Annealing steps = 15000
Warmup steps = 2000
Seed = 25
Training steps = 20000
Model parameters = 2533456
Z2 symmetry = ENABLED

Final Free Energy Results:
----------------------------------------------------------------------
Beta       F/n             std(F/n)       
----------------------------------------------------------------------
0.1000     -7.03071532     0.00016051     
0.1109     -6.36047246     0.00013541     
0.1217     -5.81680394     0.00011686     
0.1325     -5.36362754     0.00010401     
0.1432     -4.98377835     0.00009275     
0.1538     -4.66119179     0.00008568     
0.1643     -4.38417506     0.00007882     
0.1747     -4.14401825     0.00007400     
0.1850     -3.93410065     0.00007000     
0.1952     -3.74929912     0.00006611     
0.2053     -3.58558634     0.00006499     
0.2153     -3.43975709     0.00006288     
0.2252     -3.30922307     0.00006353     
0.2350     -3.19187627     0.00006481     
0.2447     -3.08597979     0.00006765     
0.2543     -2.99009184     0.00007263     
0.2638     -2.90300321     0.00007252     
0.2732     -2.82369481     0.00008485     
0.2824     -2.75205185     0.00007190     
0.2915     -2.68647095     0.00007301     
0.3005     -2.62633377     0.00007520     
0.3094     -2.57110188     0.00007858     
0.3181     -2.52086687     0.00008142     
0.3267     -2.47458875     0.00008541     
0.3352     -2.43191945     0.00009076     
0.3435     -2.39300627     0.00009586     
0.3517     -2.35706631     0.00009799     
0.3597     -2.32426395     0.00010169     
0.3676     -2.29394346     0.00010512     
0.3753     -2.26627254     0.00010873     
0.3828     -2.24102696     0.00011235     
0.3902     -2.21769839     0.00011577     
0.3974     -2.19645265     0.00011929     
0.4044     -2.17712851     0.00012415     
0.4112     -2.15957891     0.00013026     
0.4178     -2.14367548     0.00013892     
0.4242     -2.12930702     0.00014787     
0.4303     -2.11656935     0.00016082     
0.4362     -2.10514481     0.00017745     
0.4419     -2.09495709     0.00019205     
0.4474     -2.08592800     0.00019884     
0.4529     -2.07767570     0.00019499     
0.4586     -2.06989769     0.00017715     
0.4646     -2.06246938     0.00015343     
0.4711     -2.05518309     0.00013162     
0.4780     -2.04819762     0.00011373     
0.4854     -2.04144821     0.00009852     
0.4933     -2.03498061     0.00008678     
0.5018     -2.02875985     0.00007560     
0.5108     -2.02289646     0.00006637     
0.5204     -2.01735366     0.00005921     
0.5307     -2.01211040     0.00005213     
0.5417     -2.00720292     0.00004699     
0.5535     -2.00261822     0.00004149     
0.5661     -1.99838292     0.00003752     
0.5797     -1.99445813     0.00003454     
0.5944     -1.99084850     0.00003154     
0.6103     -1.98755913     0.00002885     
0.6276     -1.98457698     0.00002698     
0.6466     -1.98188381     0.00002398     
0.6675     -1.97948476     0.00002187     
0.6907     -1.97736626     0.00002053     
0.7167     -1.97551788     0.00001917     
0.7462     -1.97392731     0.00001785     
0.7801     -1.97258567     0.00001668     
0.8199     -1.97147749     0.00001623     
0.8677     -1.97059172     0.00001584     
0.9274     -1.96991059     0.00001603     
1.0000     -1.96944599     0.00001905     
